No,약어,영문/원문,한글 해석
360,Chart of Depreciation,감가상각영역(Dep.area)포함하고 있으며 주어진 국가 혹은 경제영역에서 필요한 모든 평가조건(Valuation terms)과 상각조건(Depreciation terms)를 정의 및 관리한다. 새로 생성시에는 기존의 것을 Copy해서 사용한다. Client에는 n개의 COD를 갖지만 일반적으로 한국가에 하나의 COD를 갖는다. 또 각각의 Company Code는 하나의 COD를 가지면 관계는 n1이자만 보통 1 COA와 1COD를 사용한다.,"감가상각 영역(Dep.area)을 포함하고 있으며, 주어진 국가 혹은 경제권에서 필요한 모든 평가 조건(Valuation terms)과 상각 조건(Depreciation terms)을 정의하고 관리한다. 새로 생성할 때에는 기존 것을 Copy해서 사용한다. Client에는 n개의 COD를 가질 수 있지만, 일반적으로 한 국가당 하나의 COD만 갖는다. 또한 각 Company Code는 하나의 COD를 가지므로 관계는 n:1이지만, 보통 1개의 COA와 1개의 COD만 사용한다."
361,CHJ,Cole Haan Japan,Cole Haan Japan
362,CHRO,Chief Human Resource Officer,최고 인사 책임자
363,CI,Commercial Invoice,상업송장
364,CI,Cost Innovation,Cost Innovation
365,CI,Certification Of Inspection,검사 증명서
366,CI,Confidence Interval,신뢰 구간
367,CI,Continuous Improvement,지속적인 개선
368,CIA,Category Information Analyst,Category Information Analyst
369,CIF,"Cost, Insurance And Freight",운임·보험료 포함 조건
370,CIG,Customer Information Group,Customer Information Group
371,CIIMM,CQM - It - Ie - Manda - Material,CQM - IT - IE - Manda - Material
372,CIL,Chemical Inventory List,화학물질 재고 목록
373,CIM,Continuous Improvement Mindset,지속적 개선 마인드셋
374,CIM,Computer Integrated Manufacturing,Computer Integrated Manufacturing
375,CIO,Chief Information Officer,최고정보책임자
376,CIP,Carriage And Insurance Paid To,운임 및 보험료 지급 인도 조건
377,CIR,Consumer Innovation Review,Consumer Innovation Review
378,CISMA,China International Sewing Machinery And Accessories Show,중국 국제 재봉기 및 부품 전시회
379,CITES,UN Convention on International Trade in Endangered Species,멸종위기에 처한 야생 동식물종의 국제거래에 관한 UN 협약
380,CKO,Category Kick-Off,카테고리 킥오프
381,CL,Concept Launch,컨셉 론칭
382,CL,Closure,클로저 (신발의 여밈 방식 및 구조)
383,CL/Z,Closure/Zipper,클로저/지퍼
384,CLA,Changshin Leadership Academy,창신 리더십 아카데미
385,Class,공통 특성(characteristic)을 갖는 유사한 객체들의 그룹. 이러한 형태의 오브젝트들에는 다음과 같은 예가 있다.- materials- batches- documents,"공통 특성(characteristic)을 가진 유사한 객체들의 그룹. 이러한 형태의 오브젝트 예시는 다음과 같다.  
- 재료(materials)  
- 배치(batches)  
- 문서(documents)"
386,CLB,Cleated Baseball,야구용 징 스파이크
387,CLB,Canadian Land Bridge,캐나다 육상 루트 (Canadian Land Bridge)
388,CLC,Cleated Cricket,스터드 크리켓
389,Clearing,계정의 미결 항목들을 반제 즉 대금처리가 끝나거나 결제된 것으로 처리하는 과정. 미결항목으로 반제 할 수 있다. 예) 고객이 송장에 대한 대금을 지불하면 해당 미결항목을 결제된 대금으로 반제할 수 있다.,"Open items in an account are cleared by offsetting them as paid or settled. They can be cleared with other open items.  
Example: When a customer pays an invoice, the corresponding open item can be cleared as a settled payment."
390,Clearing account,"일시적인 기표가 이루어지는 계정. 관리목적용 임시계정은 다음과 같은 이유로 반복적으로 반제가 이루어 지는 보조계정이다- 거래상의 시간차이( 미송장입고 재고자산계정, 미입고 매입채무계정)- 조직상의 업무배분(은행정리계정)- 불분명한 거래cf) 중간계정(interim account)","일시적으로 금액을 기록하는 계정. 관리 목적의 임시 계정은 다음과 같은 이유로 반복적으로 상계가 이루어지는 보조 계정이다.  
- 거래상의 시간차이(미송장입고 재고자산 계정, 미입고 매입채무 계정)  
- 조직상의 업무 분담(은행 정리 계정)  
- 불분명한 거래  

cf) 중간계정(interim account)"
391,CLF,Cleated Football,돌기형 축구화
392,CLG,Ching Luh Group,Ching Luh Group
393,CLG,Cleated Gameday,클리티드 Gameday
394,CLM,Closed Loop Material,폐쇄 루프 소재
395,CLM,Cleated Multi-Purpose,돌기형 다목적 outsole
396,Closing,다음과 같은 마감 절차들과 관련된 업무들의 계획과 수행- 일일마감- 월간마감- 년말마감,"Planning and execution of closing-related tasks such as:
- Daily closing  
- Monthly closing  
- Year-end closing"
397,CLS,Code Leadership Standard,코드 리더십 표준
398,CLT,Commercialization Lead Time,커머셜라이제이션 리드타임
399,CLU,Cleated Soccer,스터드가 있는 축구화
400,CM,Country Manager,Country Manager
401,CM,Category Manager,Category Manager
402,CM,Cost Modeler,Cost Modeler
403,CM,Compression Mold,압축 몰드
404,CMB,Carbon Master Batch,카본 마스터배치
405,CMB,Canada Makeups Basketball,캐나다 메이크업스 농구
406,CMF,Canada Makeups Fitness,Canada Makeups Fitness (그대로 사용)
407,CMG,Color Material Graphic,컬러·소재·그래픽
408,CMK,Canada Makeups Childrens,캐나다 메이크업 아동용
409,CMM,Category Materials Manager,Category Materials Manager
410,CMM,Category Manufacturing Manager,Category Manufacturing Manager
411,CMM,Category Manufacturing Management,카테고리 제조 관리
412,CMMS,Computerized Maintenance Management System,전산화 유지보수 관리 시스템
413,CMO,Chief Marketing Officer,Chief Marketing Officer
414,CMO,Canada Makeups Other,캐나다 메이크업 기타
415,CMOD,Country Manufacturing Operations Director,국가 제조 운영 Director
416,CMP,Compression Molded Preform,압축 성형 프리폼
417,CMP,Color Management Program,컬러 매니지먼트 프로그램
418,CMP,Color Management Program,색상 관리 프로그램
419,CMQ,Canada Makeups Racquet,캐나다 메이컵스 라켓
420,CMR,Canada Makeups Running,Canada Makeups Running
421,CMSE,Certified Machinery Safety Expert,공인 기계 안전 전문가
422,CMT,Comment,코멘트
423,CMU,Compression Molded Unitsole,압축 성형 유닛솔
424,CMV,Corel Move,Corel Move
425,CNC,Computerized Numerical Control,Computerized Numerical Control: 컴퓨터 수치 제어
426,CNG,Compressed Natural Gas,압축천연가스
427,CO,Certificate Of Origin,원산지 증명서
428,CO,Close Out,마감 처리
429,CO,Counter,카운터
430,COB,Close Of Business,업무 종료 시간
431,COC,Code Of Conduct,행동 강령
432,COC,Certificate Of Compliance,적합성 증명서
433,COC,Chain of Custody,인계 체계
434,COD,Cash On Delivery,착불 결제
435,COD,Category Operation Director,Category Operation Director
436,COD,Certificate Of Destruction,폐기 증명서
437,COE,Code Of Ethics,윤리 강령
438,COE,Factory Center Of Excellence,Factory Center Of Excellence
439,COG,Category Operations Group,Category Operations Group
440,COGS,Cost Of Goods Sold,매출원가
441,COM,Component Parts,구성 부품
442,COM,Category Operation Manager,Category Operation Manager
443,COMMIT,Commitment,헌신
444,Company code,독립적인 회계단위. 법률상으로 요구되는 대차대조표와 손익계산서는회사코드수준에서 이루어 진다독립적인 회사들의 계정들을 동시에 관리하기 위해서 하나의 client에 대해 여러개의 회사코드를 만들 수 있다.,Independent accounting unit. Legally required balance sheets and profit and loss statements are created at the company code level. Multiple company codes can be created for one client to manage the accounts of independent companies simultaneously.
445,Completion confirmation,"완료확정(completion confirmation)은 생산오더(production order) 추적기능의 일부분으로 Operation들과 sub-operation들이 어디까지 진행되었나 기록하며, SAP 시스템은 부분(partial) 확정과 최종(final) 확정 기능을 지원한다. 완료확정은 다음과 같은 정보를 제공한다- operation이 수행된 work center- operation을 수행한 사람- operation에서 발생한 생산과 불량의 양- operation별로 소비된 활동(activity)의 양","Completion confirmation은 생산 order 추적 기능의 일부분으로, operations과 sub-operations이 어디까지 진행되었는지 기록하며, SAP 시스템은 partial confirmation과 final confirmation 기능을 지원한다. Completion confirmation은 다음과 같은 정보를 제공한다:
- operation이 수행된 work center  
- operation을 수행한 사람  
- operation에서 발생한 생산과 불량의 양  
- operation별로 소비된 activity의 양"
446,Comzn,Commercialization,커머셜라이제이션
447,Conditions,공급업체(vendor)와 협상이 이루어지는 지불조건(초과청구나 할인). Condition은 net price나 effective price에 영향을 미친다.,Payment term under negotiation with the vendor (overcharge or discount). The condition affects the net price or effective price.
448,Consignment,"Vendor(외부 공급자)가 고객(구매자)의 위치에 있는 material 재고를 관리하는 업무 형태. Vendor는 material이 위탁 저장소에서 출고될 때까지 소유권을 보유한다. 위탁 재고에 대한 지불은 material이 출고될 때 요구된다. 이러한 이유로, vendor는 위탁 재고의 출고 상황을 규정에 따라 통보 받는다.","Vendor가 고객(구매자) 위치에 있는 material 재고를 관리하는 업무 형태. Vendor는 material이 위탁 저장소에서 출고될 때까지 소유권을 보유한다. 위탁 재고에 대한 대금 지급은 material이 출고될 때 요구된다. 이러한 이유로, Vendor는 규정에 따라 위탁 재고의 출고 현황을 통보받는다."
449,Contract,"○ PP  SAP logistics system에서 사용되는 ＂outline agreement＂(또는 longer-term, volume purchasing arrangement)의 한 형태. ＂일괄계약＂은 vendor와 고객사이에 발생되는 장기간의 협약이다. 그 협약은 구매 회사에서 필요에 따라 발행하는 각각의 release order들로 채워진다. SAP 시스템은 다음과 같은 종류의 계약을 제공한다 - Quantity contract- Value contract - Consignment contract ○ CO  공급업체와 체결하는 장기계약으로 고객 필요에 따라 생성되는 개별적인 release order에 의해 이행된다.","○ PP  
SAP logistics system에서 사용되는 ""outline agreement""(또는 장기·대량 구매 계약)의 한 형태. ""일괄계약""은 vendor와 고객사 사이에 체결되는 장기 협약이며, 구매 회사가 필요에 따라 발행하는 개별 release order들로 이행된다. SAP 시스템은 다음과 같은 유형의 계약을 제공한다.  
- Quantity contract  
- Value contract  
- Consignment contract  

○ CO  
공급업체와 체결하는 장기 계약으로, 고객의 필요에 따라 생성되는 개별 release order에 의해 이행되는 계약 형태."
450,Controlling area,"FI가 회사코드(Company Code)를 중심으로 모든 거래처를 집계하는 것에 반하여, CO에서는 관리회계의 목적상 회사 이상의 차원에서 Data를 집계하는 것을 지원한다. 이러한 관리회계상의 최상위 조직단위를 Controlling Area라고 하며, 그 성격상 회사코드를 Controlling Area에 연결하도록 되어 있다. 즉, 하나의 Controlling Area에는 여러 회사코드가 연결될 수 있다. 따라서 여러 회사가 하나의 SAP 시스템을 사용하고 있고, 관리회계의 목적상으로는 각종 손익 Data 등을 마치 하나의 조직으로 간주하고 분석하는 것도 가능하다. 하나의 회사가 하나의 시스템을 사용하는 경우에는 결과적으로 Controlling Area와 회사코드는 11의 관계로 설정될 것이다.","FI가 회사코드(Company Code)를 중심으로 모든 거래처를 집계하는 것과 달리, CO에서는 관리회계 목적상 회사 차원을 넘어선 수준에서 데이터를 집계하는 것을 지원한다. 이러한 관리회계상의 최상위 조직 단위를 Controlling Area라고 하며, 그 성격상 회사코드는 Controlling Area에 연결되도록 되어 있다. 즉, 하나의 Controlling Area에는 여러 회사코드가 연결될 수 있다. 따라서 여러 회사가 하나의 SAP 시스템을 사용하면서, 관리회계 관점에서 각종 손익 데이터 등을 하나의 조직처럼 간주하여 분석하는 것도 가능하다. 한 회사가 하나의 시스템만 사용하는 경우에는 결과적으로 Controlling Area와 회사코드는 1:1 관계로 설정된다."
451,COP,Community Of Practice,실천 공동체
452,COP,Certificate Of Production,생산 증명서
453,CO-PA,Profit Analysis Controlling. 수익성을 관리하는 SAP-CO의 sub module로서 다음과 같은 기능이 있다.- PA(Profitability Analysis)- PCA(Profit Center Accounting),"Profit Analysis Controlling. 수익성을 관리하는 SAP-CO의 서브 모듈로서 다음과 같은 기능이 있다.  
- PA(Profitability Analysis)  
- PCA(Profit Center Accounting)"
454,CO-PC,Product Cost Controlling. 제품원가를 계산/관리하는 SAP-CO sub module로서 실적원가/계획원가/표준원가와의 비교분석 기능을 지원하며 다음과 같은 기능이 있다.- Product Cost Planning- Cost Object Controlling- Actual Costing,"Product Cost Controlling. 제품 원가를 계산·관리하는 SAP-CO 서브 모듈로서 실적 원가·계획 원가·표준 원가 간 비교·분석 기능을 지원하며, 다음과 같은 기능이 있다.  
- Product Cost Planning  
- Cost Object Controlling  
- Actual Costing"
455,COPQ,Cost Of Poor Quality,품질 불량 비용
456,COS,Curves On A Surface,곡선 온 어 서피스
457,CoSMA,"<span style=""font-size: 9pt; font-family: Calibri; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; letter-spacing: 0pt; vertical-align: baseline;"">Culture of Safety Maturity Assessment&nbsp; <br />(RSM에서 쓰는 용어)&nbsp;</span>",안전 문화 성숙도 평가 (RSM에서 사용하는 용어)
458,Cost center,"회사이하의 조직단위를 표현할 수 있는 것으로는 Cost Center가 있다. 전통적인 회계시스템상의 부서, 과, 팀 등과 가장 유사한 코드로 볼 수 있는데, 필요에 따라 그 이하의 단위로 Cost Center를 설정하거나, 생산공정을 하나의 Cost Center로 놓을 수도 있다. Cost center는 간접비를 관리하는 기본 단위이고, 기본적으로 SAP에서는 관리회계 View의 조직코드이지 재무회계 View의 단위는 아니라는 것에 유의해야 한다. 예를 들어 매출채권을 Cost Center별로 관리하는 방식은 지원되지 아니한다. 특징적으로 Cost Center는 계층구조(Hierarchy)를 설정하는 것이 가능하다. 따라서 회사의 실제 조직구조를 Cost Center Hierarchy로 표현하는 것이 가능하며, 표준계층구조(Standard Hierarchy) 이외에, 여러 가지 다른 형태의 계층구조를 표현하는 것도 가능하다. 계층구조를 표현하기 위해 각각의 중간 마디들은 Cost Center Group 이라고 한다.","회사이하의 조직단위를 표현할 수 있는 것으로는 Cost Center가 있다. 전통적인 회계시스템상의 부서, 과, 팀 등과 가장 유사한 코드로 볼 수 있는데, 필요에 따라 그 이하의 단위로 Cost Center를 설정하거나, 생산공정을 하나의 Cost Center로 놓을 수도 있다. Cost center는 간접비를 관리하는 기본 단위이고, 기본적으로 SAP에서는 관리회계 View의 조직코드이지 재무회계 View의 단위는 아니라는 것에 유의해야 한다. 예를 들어 매출채권을 Cost Center별로 관리하는 방식은 지원되지 아니한다. 특징적으로 Cost Center는 계층구조(Hierarchy)를 설정하는 것이 가능하다. 따라서 회사의 실제 조직구조를 Cost Center Hierarchy로 표현하는 것이 가능하며, 표준계층구조(Standard Hierarchy) 이외에, 여러 가지 다른 형태의 계층구조를 표현하는 것도 가능하다. 계층구조를 표현하기 위해 각각의 중간 마디들은 Cost Center Group 이라고 한다."
459,Cost center accounting,"Cost center를 기초단위로 간접비를 관리하는 기능으로, 조직간 간접비 배부에 사용됨","Cost center를 기본 단위로 간접비를 관리하며, 조직 간 간접비 배부에 사용되는 기능"
460,Cost center accounting (CCA),Cost center accounting,코스트 센터 회계
461,Cost element,"재무회계(FI)에서 금액표현의 가장 기본적인 단위가 계정(G/L Account)인 것처럼, 관리회계(CO)에서는 Cost Element가 기본 단위이다. 쉽게 표현하면 Cost Element는 CO의 계정과목이라고 할 수 있다. Cost Element는 Primary cost element와 Secondary cost element로 나누어 진다. Primary Cost Element는 재무회계에서 사용하는 비용계정들을 CO의 관점에서 부르는 용어이다. 따라서, FI의 Chart of Accounts 상의 모든 비용계정은 CO의 Primary Cost Element가 될 수 있다. 그러나 FI의 모든 비용계정들이 Cost Element가 되는 것은 아니므로, FI의 비용계정들에 대해여 CO에서 Primary Cost Element 로 등록하는 작업이 필요하게 된다.","In Financial Accounting(FI), just as the most basic unit for expressing amounts is the account(G/L Account), in Controlling(CO) the basic unit is the Cost Element. Simply put, the Cost Element can be considered the account title of CO. Cost Elements are divided into Primary Cost Element and Secondary Cost Element. A Primary Cost Element is the term used, from the CO perspective, for the expense accounts used in FI. Therefore, all expense accounts in the FI Chart of Accounts can become Primary Cost Elements in CO. However, not all FI expense accounts automatically become Cost Elements, so it is necessary in CO to register the FI expense accounts as Primary Cost Elements."
462,CP,Conventional Phylon,일반 Phylon
463,CPA,Category Planning Analyst,Category Planning Analyst
464,CPBMO,"<span lang=""EN-US"" style=""font-size: 10pt; font-family: Pretendard;"">(구) DPC 팀의 새로운 이름 <br /><strong>C</strong>onsumer, <strong>P</strong>roduct, <strong>B</strong>rand, and <strong>M</strong>arketplace <strong>O</strong>perations</span>","(구) DPC 팀의 새로운 이름  
Consumer, Product, Brand, and Marketplace Operations"
465,CPE,Category Product Engineer,Category Product Engineer
466,CPI,Code Page Information,코드 페이지 정보
467,CPI,Consumer Price Index,소비자물가지수
468,CPI,Consumer Product &amp; Innovation,Consumer Product & Innovation
469,CPR,Cardio Pulmonary Resuscitation,심폐소생술
470,CPS,Connections Per Second,초당 연결 수
471,CPS,Changshin Production System,Changshin 생산 시스템
472,CPSIA,Consumer Product Safety Improvement Act,소비자 제품 안전 개선법
473,CPSIA,미국에서 소비자 (어린이)를 보호하기 위해서 2008년 발효한 법령. 이에 따라 어린이 제품은 선적전 유해성 검사를 해야 함,"2008년 미국에서 발효된, 소비자(어린이)를 보호하기 위한 법령. 이에 따라 어린이 제품은 선적 전에 유해성 검사를 반드시 실시해야 함."
474,CPT,Carriage Paid To,운송비 지급 인도 조건
475,CPTPP,Comprehensive and Progressive Agreement for Trans-Pacific Partnership,포괄적·점진적 환태평양경제동반자협정
476,CPU,Cost Per Unit,단가
477,CQIM,Craftsmanship And Quality In Motion,움직임 속에 담긴 장인정신과 품질
478,CQIM,"한국 PCC 4개사와 Korea NLO가 추진하는 품질, Craftsmanship 관련 미팅",한국 PCC 4개사와 Korea NLO가 추진하는 품질 및 Craftsmanship 관련 미팅
479,CQM,Category Quality Management,카테고리 품질 관리
480,CQO,Chief Quality Officer,Chief Quality Officer
481,CR,Conversion Rate,전환율
482,CR,Corporate Responsibility,기업의 사회적 책임
483,CR,Chiorobutadiiene,클로로부타디엔
484,CR,Compression Ratio,압축 비율
485,CR,Courier,운송 담당 (Courier)
486,CR,Cognitive Radio,인지 무선
487,CRAM,Category Regional Alignment Meeting,Category Regional Alignment 미팅
488,CRAM Sample,Category and Regional Alignment Month Sample,카테고리 및 지역 정렬 월 샘플
489,CRCC,Corporate Responsibility Compliance Committee,기업 책임 컴플라이언스 위원회
490,CRD,Customer Request Date,고객 요청일
491,Create Req.,"복수개의 기준정보 마스터를 Grid 화면을 활용하여 일괄적으로 생성할 수 있는 기능, 동일 분류에서 수십건의 마스터를 일괄적으로 생성하는 경우 모든 입력 속성값에 대한 데이터를 작성하고 생성할수 있다","기준정보 마스터를 복수 개 한 번에 생성할 수 있는 기능으로, Grid 화면을 활용하여 동일 분류 내 수십 건의 마스터를 일괄 생성할 때 모든 입력 속성값을 작성하고 한 번에 생성할 수 있다."
492,Credit control area,고객에 대한 신용(여신)한도를 특정하고 점검하는 회사내의 조직단위. 신용관리 영역은 하나 이상의 회사코드를 포함할 수 있다. 하지만 하나의 회사코드를 하나 이상의 신용관리영역에 지정할 수는 없다.,"An organizational unit within a company that specifies and monitors customer credit limits. A credit control area can include one or more company codes, but a company code cannot be assigned to more than one credit control area."
493,Credit memo,손상된 제품의 반환과 같이 customer로부터의 채권을 줄이는 거래. 이와 반대로 vendor에게 상품을 반환하는 경우의 차변메모(debit memo)는 채무액을 줄여 준다.,손상된 제품의 반환처럼 customer로부터의 채권을 줄이는 거래. 이와 반대로 vendor에게 상품을 반환하는 경우의 차변 메모(debit memo)는 채무액을 줄여 준다.
494,CRM,Customer Relationship Management,고객 관계 관리
495,CRM,Cobra Mens Running,Cobra 남성 러닝
496,CRP,Capacity Requirement Planning,생산 능력 소요 계획
497,CRW,Cobra Wmns Running,Cobra 여성용 러닝
498,CS,Customer Service,고객 서비스
499,CS Rep-Material,"NIKE CODE를 기반으로 한 개발 자재코드와, BOM description까지 반영된 생산위주의 자재코드를  NIKE code체계+item/spec/color 쳬계의 조합으로 표준화하여 관리하는 CS 기준정보 통합 자재 마스터(NIKE 미생성 코드 자재는 별도의  CS 자재 코드 생성)","Development material codes based on NIKE CODE and production-oriented material codes that include BOM description are standardized and managed by combining the NIKE code system with item/spec/color structure as the integrated CS master material data. (For materials without NIKE codes, separate CS material codes are created.)"
500,CSBP, ,
501,CSCM,Circular Saw Cutting Machine,원형 톱 절단기
502,CSDP,Changshin Standard Development Process,창신 표준 개발 프로세스
503,CSF,Critical Success Factor,핵심 성공 요인
504,CSL,Creative Strategy Launch,Creative Strategy 런칭
505,CSM,Country Systems Manager,Country Systems Manager
506,CSM,Current State Map,현재 상태 맵
507,CSM,"<span style=""font-size: 9pt; font-family: Calibri; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; letter-spacing: 0pt; vertical-align: baseline;"">Contractor Safety Management&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</span>",협력업체 안전 관리
508,CSP,Category Seasonal Plan,카테고리 시즌 기획
509,CSPSIA,Customer Product Safety Improvement Act,고객 제품 안전 개선법
510,CSR,Customer Service Rep,Customer Service Rep (고객 서비스 담당)
511,CSR,Corporate Social Responsibility,기업의 사회적 책임
512,CSS,Component Specification Sheet,컴포넌트 스펙 시트
513,CSS,"Clean, Straight, Strong","깨끗하고, 곧고, 강하다"
514,CSSI,"Clean, Straight, Strong, Interior","깨끗함, 직선형, 강인함, 내부 용도"
515,CSV,Comma Separated Value,쉼표로 구분된 값
516,CT,Cycle Time,사이클 타임
517,CT,Container Terminal,컨테이너 터미널
518,CTH,Change of Tariff Heading,세번 변경
519,CTL,Category Team Leader,Category Team Leader
520,CTM,Cobra Mens Tennis,코브라 남성용 테니스
521,CTM,"Creation, Team, Mind","창조, 팀, 마인드"
522,CTM,Chong Tien Machine&nbsp;,Chong Tien Machine
523,CTO,Chief Talent Officer,Chief Talent Officer
524,CTP,Critical To Process,공정에 필수적인 요소
525,CTPAT,Cargo Trade Partnership Against Terrorism,테러에 대응하는 화물 무역 파트너십
526,CT-PAT,Commerce Trade Partnership Against Terrorism,대테러를 위한 무역 안전 협정 (CTPAT)
527,CTQ,Critical To Quality,품질에 치명적으로 중요한 요소
528,CTQ-CTP,Critical To Quality - Critical To Process,품질에 치명적인 요소 - 공정에 치명적인 요소
529,CTR,Cumulative Trial Report,누적 시험 보고서
530,CTS,Commercialization Tracking Sheet,상품화 추적 시트
531,CTS,ChangShin Traceability System,ChangShin 추적 시스템
532,CTTR,Confirmed Transfer Tracking Report,확정된 이관 추적 보고서
533,CTTR,Confirmed Tooling Transfer Request,툴링 이전 요청 승인됨
534,CTW,Cobra Wmns Tennis,Cobra 여성용 테니스
535,Customer group,영업형태별 site분류,Sales type-based site classification
536,Customer master record,거래를 기록하는데 필요한 고객에 대한 모든 정보를 포함하고 있는 데이타 레코드. 고객주소와 은행 Data 등이 포함된다.,거래를 기록하는 데 필요한 고객 관련 모든 정보를 포함하는 데이터 레코드. 고객 주소와 은행 정보 등이 포함된다.
537,CWF,Cool White Fluorescent,냉백색 형광등
538,CWH,China Working Hour,중국 근무 시간
539,CXM,Cobra Mens Training,Cobra 남성 트레이닝
540,CXW,Cobra Wmns Training,Cobra 여성용 트레이닝
541,CY,Calendar Year,달력 기준 연도
542,CY,Container Yard,컨테이너 야드
543,Cycle Time,"제품 1개 또는 1족을 만드는 데 실제로 걸린 시간.작업자와 기계의 작업시간과 이동, 대기시간을 모두 포함한다.일정한 횟수를 실측으로 측정하여 평균값으로 정한다.","제품 1개 또는 1족을 만드는 데 실제로 소요된 시간. 작업자와 기계의 작업 시간뿐 아니라 이동 및 대기 시간을 모두 포함하며, 일정 횟수를 실측하여 그 평균값으로 산정한다."
544,D&I,Diversity And Inclusion,다양성과 포용
545,D/A,Document Against Acceptance,수령 거부 근거 문서
546,D/O,Delivery Order,납품 지시서
547,D/O Fee,Document Fee,문서 수수료
548,D/P,Document Against Payment,지급인도 조건
549,D2C,Direct to Consumer,Direct to Consumer (소비자 직접 판매)
550,DAF,Delivered At Frontier,국경 인도 조건
551,DAG,Domestic Advisory Group,국내 자문 그룹
552,DAM,Digital Additive Manufacturing,디지털 적층 제조
553,DAP,Damaged Area Percentage,손상 면적 비율
554,DAP,Delivered At Place,지정 장소 인도
555,Dash Board,"도메인 별 기준정보 현황을 보여준다, 각 도메인이 가진 기준정보의 수/분류수/속성 수부터 기준정보의 연계 현황까지 시스템 내 기준정보 현황을 도식화하여 제시함으로 한눈에 파악할 수 있다","It shows the status of master data by domain. By visualizing the number of master data items, classifications, and attributes each domain has, as well as the linkage status of the master data, the overall master data status in the system can be grasped at a glance."
556,DBA,Database Administrator,Database Administrator
557,DBOM,Development Bill Of Material,Development Bill Of Material → 개발용 자재 명세서
558,DC,Distribution Center,물류 센터
559,DC,Development Center,Development Center
560,DC,Digital Creation,디지털 크리에이션
561,DCAD,Distribution Center Arrival Date,물류센터 도착일
562,DCC,Digital Creation Center,Digital Creation Center
563,DCE,Director of Chemical Engineering,화학 공학 Director
564,DCP,Dicumyl Peroxide,디쿠밀 퍼옥사이드
565,DCS,Dying Color System,염색 컬러 시스템
566,DCS,Digital Creation Summit,Digital Creation Summit
567,DD,Direct Development,직접 개발
568,DDD,Drop Dead Date,최종 마감일
569,DDD,Deadline Delivery Date,마감 납기일
570,DDDM,Data Driven Decision Making,데이터 기반 의사 결정
571,DDI,Disk Dupe Image,디스크 복제 이미지
572,DDM,Data Driven Management,데이터 기반 경영
573,DDO,Data Driven Organization,데이터 기반 조직
574,DDoS,Distributed Denial of Service,분산 서비스 거부
575,DDP,Delivered Duty Paid,관세지급인도 조건
576,DDR,Detailed Defective Returns,상세 불량 반품
577,DDS,Directx Directdraw Surface,DirectX DirectDraw 서피스
578,DDU,Delivered Duty Unpaid,배송 관세 미지급 조건
579,DE,Deployment Engineer,Deployment Engineer
580,DE&I,"Diversity, Equity and Inclusion","다양성, 형평성 및 포용"
581,DEC,Delivery Excellence Call,Delivery Excellence Call
582,Delivery block,선생산 주문 오더입력시 출하관련하여 block을 지정함으로써 계약전 자재출고를 방지하기 위한 기능으로 사용,"In pre-production order entry, this is used as a function to prevent material shipments before contract confirmation by specifying a block related to shipment."
583,Delivery costs,자재원가에 부가해서 주문자에 의해 발생하는 비용,Cost incurred by the buyer in addition to material cost
584,Delivery note,출하(delivery)에 필요한 정보를 담은 문서로 다음과 같은 작업에 필요한 정보르 제공,"출하에 필요한 정보를 담은 문서로, 다음과 같은 작업에 필요한 정보를 제공한다."
585,Delivery plant,출하장소,Shipping location
586,Delivery schedule,"scheduling agreement상의 각 품목별로 합의한 납기 일정, MRP작업이 수행되면 정기적 으로 이 값이 갱신된다.",Scheduling agreement 상의 각 품목별로 합의된 납기 일정. MRP 작업이 수행되면 이 값이 정기적으로 갱신된다.
587,Delivery scheduling,출고일자를 토대로 출하와 관련된 모든일자를 결정한다. 원하는 적하일자를 맞추기 위해 Picking 및 Packing이 수행되어야 하는 일자를 시스템에서 결정한다.,"Based on the shipment date, all shipping-related dates are determined. The system calculates the dates on which Picking and Packing must be performed in order to meet the desired loading date."
588,Delivery unit,Delivery 기본 수량 및 설정단위,Delivery 기본 수량 및 설정 단위
589,Demand management,"수요관리는 완제품과 중요 어셈블리에 대하여 소요량과 요구일자를 결정하는 것이 목적이며, 완제품의 계획과 생산/조달에 사용되는 전략을 기본값으로 지정하며 변경도 가능하다. 수요관리의 결과는 독립소요량(Independent requirement)의 형태를 갖는 demand program이며, 수동으로 수행될 수도 있고 선행 계획 결과(sales plan, aggregate production plan, forecast)를 이용하여 수행될 수도 있다.","Demand Management의 목적은 완제품과 주요 어셈블리에 대한 소요량과 요구일자를 결정하는 것이며, 완제품의 계획과 생산/조달에 사용되는 전략을 기본값으로 지정하되 변경도 가능하다. Demand Management의 결과는 독립소요량(Independent requirement) 형태의 Demand Program이며, 수동으로 수행하거나 선행 계획 결과(sales plan, aggregate production plan, forecast)를 활용하여 수행할 수도 있다."
590,Demand Simulation,수요 및 판매계획,Demand & Sales Planning
591,DEQ,Delivered Ex Quay,부두 인도 조건(Ex Quay 인도 조건)
592,DES,Delivered Ex Ship,선적 완료 인도 (Ex Ship 조건)
593,DFA,Design For Assemble,조립을 고려한 설계
